utc	jobid	name	config	gpus	nodes	gpus_per_node	queue	wall	mem	mbs	ga	seq	steps	tokens_per_step	total_tokens	git_commit	config_sha256	cmdline
2026-09-17T20:04:51Z	1760347	cmix_134M_hybrid_bsprobe_mbs8	configs/cmix/cmix_134M_hybrid_bsprobe_mbs8.yml	8	1	8	preemptable	01:00	200G	8	1	4096	120	262144	31457280	cfc439b3	3c6ed944310aee37	submit_train.sh cmix_134M_hybrid_bsprobe_mbs8 configs/cmix/cmix_134M_hybrid_bsprobe_mbs8.yml 8 preemptable 01:00 200G 
2026-09-17T20:04:51Z	1760348	cmix_134M_pure_bsprobe_mbs8	configs/cmix/cmix_134M_pure_bsprobe_mbs8.yml	8	1	8	preemptable	01:00	200G	8	1	4096	120	262144	31457280	cfc439b3	e1a29c7d54fe5df2	submit_train.sh cmix_134M_pure_bsprobe_mbs8 configs/cmix/cmix_134M_pure_bsprobe_mbs8.yml 8 preemptable 01:00 200G 
2026-09-17T20:12:50Z	1760375	cmix_134M_hybrid_32B	configs/cmix/cmix_134M_hybrid_32B.yml	8	1	8	preemptable	24:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	260852c6ba20b8d4	submit_train.sh cmix_134M_hybrid_32B configs/cmix/cmix_134M_hybrid_32B.yml 8 preemptable 24:00 200G 
2026-09-17T20:12:50Z	1760376	cmix_134M_sandwich_32B	configs/cmix/cmix_134M_sandwich_32B.yml	8	1	8	preemptable	24:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	3c3d7fa6282ee6f5	submit_train.sh cmix_134M_sandwich_32B configs/cmix/cmix_134M_sandwich_32B.yml 8 preemptable 24:00 200G 
2026-09-17T20:12:50Z	1760377	cmix_134M_gptswitch_32B	configs/cmix/cmix_134M_gptswitch_32B.yml	8	1	8	preemptable	48:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	0f2826d95d5366b4	submit_train.sh cmix_134M_gptswitch_32B configs/cmix/cmix_134M_gptswitch_32B.yml 8 preemptable 48:00 200G 
2026-09-17T20:12:51Z	1760378	cmix_134M_pure_32B	configs/cmix/cmix_134M_pure_32B.yml	8	1	8	preemptable	48:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	8ab0a62e0cdd9fb9	submit_train.sh cmix_134M_pure_32B configs/cmix/cmix_134M_pure_32B.yml 8 preemptable 48:00 200G 
2026-09-17T20:37:17Z	1761075	cmix_134M_pure_32B	configs/cmix/cmix_134M_pure_32B.yml	8	1	8	preemptable	48:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	8ab0a62e0cdd9fb9	submit_train.sh cmix_134M_pure_32B configs/cmix/cmix_134M_pure_32B.yml 8 preemptable 48:00 200G 
2026-09-17T20:44:38Z	1761117	cmix_400M_hybrid_sparse	configs/cmix/cmix_400M_hybrid_sparse.yml	8	1	8	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	cfc439b3	7b40337dc40796ab	submit_train.sh cmix_400M_hybrid_sparse configs/cmix/cmix_400M_hybrid_sparse.yml 8 preemptable 24:00 200G 
2026-09-17T20:44:38Z	1761118	cmix_400M_baseline_switch	configs/cmix/cmix_400M_baseline_switch.yml	8	1	8	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	cfc439b3	ae6f7b17da08f7b7	submit_train.sh cmix_400M_baseline_switch configs/cmix/cmix_400M_baseline_switch.yml 8 preemptable 24:00 200G 
2026-09-17T20:54:07Z	1761188	cmix_134M_sandwich_32B	configs/cmix/cmix_134M_sandwich_32B.yml	8	2	4	preemptable	24:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	3c3d7fa6282ee6f5	submit_train.sh cmix_134M_sandwich_32B configs/cmix/cmix_134M_sandwich_32B.yml 8 preemptable 24:00 200G 
2026-09-17T20:54:07Z	1761189	cmix_134M_gptswitch_32B	configs/cmix/cmix_134M_gptswitch_32B.yml	8	2	4	preemptable	24:00	200G	4	2	4096	122070	262144	31999918080	cfc439b3	0f2826d95d5366b4	submit_train.sh cmix_134M_gptswitch_32B configs/cmix/cmix_134M_gptswitch_32B.yml 8 preemptable 24:00 200G 
2026-09-17T20:54:07Z	1761190	cmix_400M_hybrid_sparse	configs/cmix/cmix_400M_hybrid_sparse.yml	8	2	4	preemptable	24:00	200G	2	8	4096	61035	524288	31999918080	cfc439b3	7b40337dc40796ab	submit_train.sh cmix_400M_hybrid_sparse configs/cmix/cmix_400M_hybrid_sparse.yml 8 preemptable 24:00 200G 
